GEO.display-label,HC01_VC40,HC03_VC40,HC01_VC41,HC03_VC41,HC01_VC42,HC03_VC42,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC101,HC03_VC101,HC01_VC118,HC01_VC130,HC03_VC130,HC01_VC134,HC03_VC134,HC03_VC161,HC03_VC167,HC03_VC171
"Charleston city, South Carolina",75005,75005,34980,46.6,14183,18.9,17314,23.1,2774,3.7,5754,7.7,75005,75005,81,0.1,2366,3.2,4882,6.5,1598,2.1,7871,10.5,3636,4.8,1783,2.4,4868,6.5,10699,14.3,18382,24.5,10900,14.5,5377,7.2,2562,3.4,75005,75005,57818,77.1,11983,16,5092,6.8,112,0.1,4559,7.9,39960,136578,136578,10735,7.9,7.2,29.2,15.2
"Columbia city, South Carolina",60590,60590,23487,38.8,10237,16.9,15882,26.2,3066,5.1,7918,13.1,60590,60590,119,0.2,2076,3.4,3357,5.5,1110,1.8,8834,14.6,2487,4.1,799,1.3,4973,8.2,6698,11.1,14424,23.8,8120,13.4,3354,5.5,4239,7,60590,60590,44847,74,13031,21.5,2712,4.5,0,0,7922,16.8,28345,113688,113688,7931,7,12.8,29.3,19.9
"Greenville city, South Carolina",34944,34944,17186,49.2,5411,15.5,8188,23.4,728,2.1,3431,9.8,34944,34944,0,0,1168,3.3,5034,14.4,856,2.4,3582,10.3,809,2.3,1072,3.1,2303,6.6,6049,17.3,8150,23.3,3608,10.3,1969,5.6,344,1,34944,34944,30642,87.7,2293,6.6,1959,5.6,50,0.1,3361,11.5,37804,65975,65975,8068,12.2,8.1,28.4,10.8
"Mount Pleasant town, South Carolina",42687,42687,23000,53.9,4166,9.8,11732,27.5,1460,3.4,2329,5.5,42687,42687,0,0,1894,4.4,3226,7.6,983,2.3,4677,11,1562,3.7,1409,3.3,5418,12.7,8112,19,7695,18,3922,9.2,1869,4.4,1920,4.5,42687,42687,33066,77.5,5542,13,3957,9.3,122,0.3,529,1.7,50830,83314,83314,4036,4.8,1.9,11.4,4.2
"North Charleston city, South Carolina",49878,49878,15854,31.8,10046,20.1,12629,25.3,4824,9.7,6525,13.1,49878,49878,19,0,4722,9.5,3614,7.2,636,1.3,6940,13.9,2950,5.9,1814,3.6,1921,3.9,6406,12.8,9236,18.5,5703,11.4,3096,6.2,2821,5.7,49878,49878,38495,77.2,8685,17.4,2698,5.4,0,0,7952,18.4,21073,106014,106014,19084,18,19.8,38.1,25.8
"Rock Hill city, South Carolina",34999,34999,10532,30.1,6386,18.2,9127,26.1,2747,7.8,6207,17.7,34999,34999,262,0.7,1884,5.4,5629,16.1,1277,3.6,4613,13.2,1402,4,706,2,2091,6,3476,9.9,6427,18.4,4577,13.1,1904,5.4,751,2.1,34999,34999,29617,84.6,3758,10.7,1624,4.6,0,0,4257,15.3,22528,72365,72365,8647,11.9,17.9,34.4,20.4
"Rapid City city, South Dakota",33286,33286,11606,34.9,7453,22.4,8150,24.5,2985,9,3092,9.3,33286,33286,469,1.4,2773,8.3,2395,7.2,798,2.4,4188,12.6,1555,4.7,313,0.9,2234,6.7,2875,8.6,7491,22.5,4225,12.7,2050,6.2,1920,5.8,33286,33286,25899,77.8,5107,15.3,2280,6.8,0,0,4312,14.7,26753,71836,71836,7449,10.4,12.1,40,18.2
"Sioux Falls city, South Dakota",96911,96911,37190,38.4,14615,15.1,24189,25,8446,8.7,12471,12.9,96911,96911,1013,1,7804,8.1,9972,10.3,2918,3,12466,12.9,2604,2.7,1831,1.9,10299,10.6,8467,8.7,25165,26,8172,8.4,3655,3.8,2545,2.6,96911,96911,84754,87.5,7791,8,4366,4.5,0,0,6280,9.1,31988,171835,171835,13420,7.8,5.4,17.7,10.3
"Chattanooga city, Tennessee",81941,81941,28825,35.2,14846,18.1,21500,26.2,4882,6,11888,14.5,81941,81941,227,0.3,3387,4.1,11190,13.7,1312,1.6,9511,11.6,5346,6.5,1660,2,7592,9.3,7545,9.2,16273,19.9,10289,12.6,4908,6,2701,3.3,81941,81941,66906,81.7,10506,12.8,4395,5.4,134,0.2,11981,16.6,27135,174483,174483,16128,9.2,12.8,30.7,20.2
"Clarksville city, Tennessee",57662,57662,13800,23.9,11560,20,16848,29.2,4576,7.9,10878,18.9,57662,57662,94,0.2,4032,7,8325,14.4,982,1.7,8250,14.3,3268,5.7,269,0.5,2081,3.6,5958,10.3,10341,17.9,6587,11.4,2281,4,5194,9,57662,57662,42899,74.4,12304,21.3,2408,4.2,51,0.1,6925,12.6,23392,136925,136925,12887,9.4,12.7,38.1,14.8
"Franklin city, Tennessee",39315,39315,20389,51.9,5567,14.2,8527,21.7,2202,5.6,2630,6.7,39315,39315,471,1.2,1759,4.5,2286,5.8,650,1.7,4746,12.1,914,2.3,1769,4.5,3667,9.3,6493,16.5,7532,19.2,5588,14.2,2448,6.2,992,2.5,39315,39315,32978,83.9,3254,8.3,3083,7.8,0,0,1173,4.2,42977,74549,74549,4857,6.5,8.8,11.6,10.1
"Jackson city, Tennessee",25915,25915,8361,32.3,5882,22.7,4994,19.3,1889,7.3,4789,18.5,25915,25915,0,0,1524,5.9,3621,14,603,2.3,3396,13.1,979,3.8,109,0.4,1164,4.5,2728,10.5,7447,28.7,1622,6.3,1764,6.8,958,3.7,25915,25915,20345,78.5,3376,13,2161,8.3,33,0.1,5768,21.9,22631,65700,65700,5946,9.1,19.1,40.2,21.7
"Johnson City city, Tennessee",32365,32365,13649,42.2,6133,18.9,7414,22.9,1926,6,3243,10,32365,32365,61,0.2,1218,3.8,3027,9.4,813,2.5,3903,12.1,1474,4.6,431,1.3,1009,3.1,4085,12.6,9547,29.5,3996,12.3,1969,6.1,832,2.6,32365,32365,25715,79.5,4399,13.6,2175,6.7,76,0.2,5181,17.8,26870,66055,66055,5234,7.9,14.6,48.8,19.3
"Knoxville city, Tennessee",96753,96753,35019,36.2,20909,21.6,25512,26.4,5545,5.7,9768,10.1,96753,96753,635,0.7,4144,4.3,5592,5.8,2294,2.4,15283,15.8,4745,4.9,2254,2.3,4366,4.5,10811,11.2,25338,26.2,13822,14.3,4776,4.9,2693,2.8,96753,96753,76161,78.7,14351,14.8,6177,6.4,64,0.1,14606,18,22941,184301,184301,18513,10,16.9,36.9,25.4
