Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Carmel city, Indiana",70443,34392,9644,22399,2152,36051,7679,21354,4512,9.460130886,62.11121048,24.59151371,23.7
"Evansville city, Indiana",96935,46133,18982,17602,7493,50802,17545,17480,11549,19.6440914,36.19126219,37.68195182,2.9
"Fishers city, Indiana",67802,32734,8424,21609,2308,35068,8682,21294,3972,9.26226365,63.27689449,25.22934427,19
"Fort Wayne city, Indiana",204510,97172,38431,44920,11688,107338,35952,47423,14626,12.86685248,45.15329324,36.37132659,33.3
"Gary city, Indiana",59278,26271,12871,8874,3375,33007,14348,9280,4453,13.20557374,30.62518978,45.91754108,21.3
"Hammond city, Indiana",58899,27662,12679,11505,2896,31237,13043,12135,3479,10.8236133,40.13650486,43.67136963,18.9
"Indianapolis city (balance), Indiana",672929,318409,144013,131250,35647,354520,142098,138244,47343,12.33265322,40.04790996,42.51726408,19.3
"Lafayette city, Indiana",58344,26870,10846,12384,3012,31474,10817,13182,5443,14.49163582,43.81941588,37.12978198,28.1
"Muncie city, Indiana",60437,29268,14797,9624,4144,31169,15358,8882,3905,13.31800056,30.62031537,49.89493191,24.7
"South Bend city, Indiana",77991,36302,16742,15110,3639,41689,16020,15657,5719,11.99882038,39.44942365,42.00741111,11.9
"Cedar Rapids city, Iowa",105342,51843,18857,25829,5647,53499,16220,26442,6611,11.63638435,49.62028441,33.29820964,18.8
"Davenport city, Iowa",81025,39628,16803,18335,3270,41397,13102,18477,5958,11.38907745,45.43289108,36.90836162,16.2
"Des Moines city, Iowa",172608,85330,37515,34615,10933,87278,32600,34687,13434,14.11695866,40.14993511,40.62094457,29.4
"Iowa City city, Iowa",65309,30984,16793,11802,1980,34325,18368,12242,2141,6.310003215,36.81575281,53.83790902,14.9
"Sioux City city, Iowa",63464,31253,13190,13094,4240,32211,9349,15132,4096,13.13500567,44.47560822,35.51462246,18.7
"Waterloo city, Iowa",54092,27318,11023,12527,3206,26774,6708,13081,4610,14.44945648,47.34156622,32.7793389,19.8
"Kansas City city, Kansas",116645,57315,24646,24711,6399,59330,20353,26629,7794,12.16768828,44.01388829,38.57773587,20
"Lawrence city, Kansas",80982,40193,22964,14148,2158,40789,19477,14891,4154,7.794324665,35.85858586,52.40794251,5.6
"Olathe city, Kansas",104248,51800,16418,30607,4181,52448,13204,29895,6028,9.792993631,58.03660502,28.41493362,6.2
"Overland Park city, Kansas",150929,72167,22407,41960,6519,78762,20396,42220,10423,11.2251456,55.7745695,28.35969231,12.6
"Topeka city, Kansas",101071,47635,17873,22111,5747,53436,16046,22459,8364,13.96147263,44.09771349,33.55957693,17.8
"Wichita city, Kansas",306481,149716,56753,72253,16994,156765,47390,74522,22368,12.84321051,47.89040756,33.98024674,17.7
"Lexington-Fayette urban county, Kentucky",262002,127445,54954,59305,10820,134557,51884,56566,17269,10.72091053,44.22523492,40.77755132,15.7
"Louisville/Jefferson County metro government (balance), Kentucky",500277,240029,95635,106155,30441,260248,88709,108360,39234,13.92728428,42.8792449,36.84838599,27.8
"Baton Rouge city, Louisiana",183829,87971,46679,31041,7930,95858,42683,32413,11783,10.72355287,34.51794875,48.61148132,18.6
"Kenner city, Louisiana",52477,24553,8508,13071,2320,27924,9445,10968,3640,11.35735656,45.80863998,34.21117823,19.4
