GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC27,HC01_VC66,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC80,HC01_VC81,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC91,HC01_VC93,HC01_VC97,HC01_VC99,HC01_VC101,HC01_VC103,HC01_VC104,HC01_VC105,HC01_VC106,HC01_VC107,HC01_VC108,HC01_VC109,HC01_VC110,HC01_VC111,HC01_VC112,HC01_VC113,HC01_VC114,HC01_VC115,HC01_VC118,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC130,HC01_VC131,HC01_VC132,HC01_VC133,HC01_VC134,HC01_VC137,HC01_VC138,HC01_VC141,HC01_VC142,HC01_VC143,HC01_VC144,HC01_VC145,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC153,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC157
1600000US3714100,3714100,"Concord city, North Carolina",69454,43789,44819,36555,6050,2177,37,31432,1963,1298,2151,3370,3693,6216,4263,3875,2442,2161,60107,82100,25086,8065,4975,1262,624,2680,21615,1020,455,788,2942,1761,3766,3121,3379,2222,2161,75581,97223,30214,9817,40829,44840,34065,51268,36966,88940,83312,65695,29200,5628,22654,508,55457,44579,41925,38783,37160,3916,3142,2654,1417,915,620,1237,10878,10137,7072,4468,741
1600000US3719000,3719000,"Durham city, North Carolina",209193,138547,140790,113939,20923,5707,221,106400,7832,5568,9119,11167,16914,17516,12948,14051,5633,5652,52208,74401,90149,22139,16049,4497,1857,13749,59481,3275,2700,4219,4346,6406,9192,8507,11364,4990,4482,72951,91622,30850,46919,38368,49909,32402,43165,41862,260974,227161,175993,79452,33813,59284,5798,174685,140599,133468,112981,106328,11533,20487,7131,5035,3295,1865,2096,34086,28861,20624,10322,5225
1600000US3722920,3722920,"Fayetteville city, North Carolina",161120,91346,76546,54862,18284,3321,79,79645,6934,5473,9393,9984,14056,16819,7844,6363,1465,1314,42918,54258,60548,21835,19716,4313,1271,14413,47688,3573,2038,5515,5294,7875,10653,5368,4704,1465,1203,49241,61068,22749,31957,33324,41348,25595,35722,30309,186261,166936,123523,75342,19325,48549,1259,112213,80500,72599,61113,54188,12717,11486,7901,5503,3286,3032,2398,31713,27630,18427,13195,4083
1600000US3725580,3725580,"Gastonia city, North Carolina",59185,34623,35192,28851,4360,1930,51,29559,2410,1237,3779,3596,4365,5530,3752,2976,1176,738,48286,78867,23339,8930,4708,1683,1017,5455,18181,1016,371,1831,2111,2668,3735,2815,2104,992,538,54176,73765,31468,11378,33182,84935,30288,44026,33487,74396,68374,47828,30033,6022,18667,1099,44396,35426,32562,29491,27709,2882,3071,2864,2221,1306,1048,643,8970,7771,3740,4993,1199
1600000US3728000,3728000,"Greensboro city, North Carolina",229532,135008,137347,115330,14859,7158,0,113922,11031,8282,14342,12314,17843,18969,11247,11307,3429,5158,45064,66252,89898,30326,19154,5142,1634,19121,64634,4480,3117,7034,5503,8711,11599,7935,8976,2948,4331,55738,81920,27563,49288,31959,44530,27086,41855,35709,284334,258020,189736,98309,26314,64055,1610,184053,139686,129636,114042,106434,11237,15594,10050,6216,3775,3075,3834,44367,39305,25304,17804,5062
1600000US3728080,3728080,"Greenville city, North Carolina",75955,41847,42002,33289,7304,1348,61,37921,6282,3457,4584,3731,4901,6699,2424,3461,1139,1243,36806,58245,29823,7290,4716,1526,511,6199,17669,1908,826,1610,1486,2384,2956,1916,2497,1006,1080,54289,84217,24887,20252,23188,34930,25283,41894,35377,90867,81988,66496,22589,8879,17201,1147,65499,43736,40502,34653,32954,1979,5849,3234,2555,2048,507,679,21763,20559,16858,4344,1204
1600000US3731400,3731400,"High Point city, North Carolina",89937,49850,51370,43541,6323,1434,72,43265,3353,3453,5528,6704,6612,6834,3700,4307,1272,1502,41250,61130,32225,14506,7101,2556,989,10244,27860,1437,1214,3724,4216,4273,4196,2902,3591,1180,1127,46692,68608,24160,15405,31623,45942,27833,45027,32384,114508,103419,70786,46394,11089,29829,725,68948,51709,48910,43315,40889,4018,5595,2799,1454,446,1063,1345,17239,13879,7405,8770,3360
1600000US3734200,3734200,"Jacksonville city, North Carolina",52387,35295,18417,13916,3820,681,0,19925,1299,1488,1571,4043,3866,3636,2014,1294,489,225,39604,50841,17161,4028,2637,238,331,2923,13590,330,409,851,2681,3493,2865,1124,1197,415,225,43457,57440,19639,6335,27389,34744,24074,25758,27167,49859,46439,36271,14818,3420,17366,89,28382,19721,17735,15668,13885,2903,2067,1986,1059,932,187,927,8661,8324,5364,3782,337
1600000US3755000,3755000,"Raleigh city, North Carolina",375916,254268,257189,207687,36989,11793,720,180773,7543,6659,13301,16717,23400,37150,26148,24216,12024,13615,64456,92275,158292,36339,26098,5829,2341,14638,101186,2279,3276,5675,6906,10668,17877,15537,18026,9272,11670,81052,113396,37866,79587,48535,63425,36629,50447,46927,451703,410999,343623,110380,40704,92449,2421,314440,256435,244858,216132,206542,14601,28726,11577,7897,5632,3056,3680,58005,52317,41879,12973,5688
1600000US3774440,3774440,"Wilmington city, North Carolina",97874,53530,55458,45424,6760,3219,55,50083,7460,2644,7079,5436,5675,7746,4932,4353,1938,2820,38800,65923,37269,14330,7591,3200,1934,6878,24106,1588,413,2801,2589,2111,3811,3429,3060,1685,2619,65869,96724,28848,25977,26237,35765,26309,51068,35784,117178,104766,76597,40439,12412,21865,881,78859,54382,51863,44024,40525,4853,7839,2519,2012,1726,329,507,24477,21431,12834,9540,3046
1600000US3775000,3775000,"Winston-Salem city, North Carolina",190875,107160,107849,91154,11349,5196,150,95506,9581,6978,11884,11258,13933,16479,10053,8295,2366,4679,42605,69287,71086,29323,15017,4803,1357,13136,57956,3233,2599,6296,6639,7991,11040,7658,6728,1981,3791,54859,81024,27789,37550,26952,49417,27045,37438,36525,239326,209628,151630,86317,29698,57857,2918,147065,108505,101427,85080,79915,7541,16347,7078,4522,2371,2207,2556,38560,30850,20513,12953,7710
1600000US3807200,3807200,"Bismarck city, North Dakota",55821,36973,38235,30506,6469,1260,0,30628,1685,579,2495,3016,4539,6265,4477,5264,792,1516,58522,75960,24769,8330,5381,301,166,1315,16949,329,201,558,1134,2080,2728,3811,4131,607,1370,81451,95734,34686,13679,42834,50055,40293,53979,42387,67003,61602,53024,18727,5401,14613,1964,40919,36294,35475,33082,31036,2863,2393,819,746,443,303,73,4625,3654,2950,944,971
1600000US3825700,3825700,"Fargo city, North Dakota",97735,70302,69857,61442,6760,1655,0,55368,3322,3225,6125,5413,7449,12255,6450,6630,2293,2206,52699,71309,47284,11891,6860,1609,1567,4783,26006,974,672,1880,2676,2984,4689,3940,4677,1797,1717,71742,91038,32732,29362,39808,52430,31203,47918,39766,118399,110907,94361,30721,7492,24290,1125,80102,68688,65730,61316,57698,5125,4414,2958,2365,1761,876,593,11414,10118,6814,4158,1296
